Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;
Eswatini [Africa];2004;Female;null;0.1;null;13.31232;0.2;
Indonesia [South-East Asia];2002;null;Not applicable;10.39;null;;;
Czechia [Europe];2002;null;Not applicable;1.22;null;;;
Austria [Europe];2002;null;Not applicable;0.91;null;;;
Nicaragua [Americas];2004;Male;null;31.4;null;25.70578;10.9;
Bahamas [Americas];2004;Female;null;0.0;null;7.15708;0.0;
Seychelles [Africa];2004;Both sexes;null;3.2;null;9.15458;5.0;
Papua New Guinea [Western Pacific];2004;Both sexes;null;19.1;null;17.65869;15.6;
Bangladesh [South-East Asia];2004;Male;null;13.8;null;24.87487;22.1;
Eswatini [Africa];2004;Male;null;40.6;null;49.2178;28.8;
Grenada [Americas];2004;Both sexes;null;4.7;null;1.9167;7.2;
Ecuador [Americas];2004;Male;null;45.9;null;21.0763;9.9;
Bosnia and Herzegovina [Europe];2004;Male;null;2.9;null;27.61249;2.6;
Azerbaijan [Europe];2004;Female;null;0.1;null;4.47927;0.6;
Mongolia [Western Pacific];2004;Female;null;0.0;null;9.89851;0.2;
Tajikistan [Europe];2004;Both sexes;null;3.3;null;19.07723;26.4;
Gabon [Africa];2004;Male;null;29.3;null;34.26464;26.1;
Eswatini [Africa];2004;Both sexes;null;25.8;null;30.40904;25.7;
Ukraine [Europe];2004;Female;null;1.8;null;8.93404;0.6;
Turkmenistan [Europe];2004;Female;null;0.1;null;7.27693;0.6;
Antigua and Barbuda [Americas];2004;Both sexes;null;7.5;null;2.4892;9.8;
Hungary [Europe];2004;Both sexes;null;1.9;null;15.15649;5.5;
Guinea [Africa];2004;Male;null;32.4;null;39.58473;26.8;
Timor-Leste [South-East Asia];2002;null;Not applicable;22.9;null;;;
Timor-Leste [South-East Asia];2004;Both sexes;null;16.3;null;15.33097;13.6;
Tunisia [Eastern Mediterranean];2004;Male;null;3.0;null;33.054;9.9;
Malaysia [Western Pacific];2002;null;Not applicable;9.73;null;;;
Papua New Guinea [Western Pacific];2002;null;Not applicable;20.11;null;;;
Suriname [Americas];2004;Male;null;22.3;null;46.59038;16.8;
Rwanda [Africa];2004;Female;null;0.5;null;23.38891;2.0;
Egypt [Eastern Mediterranean];2004;Male;null;2.3;null;15.16608;10.0;
New Zealand [Western Pacific];2004;Both sexes;null;1.4;null;11.19982;2.5;
Argentina [Americas];2004;Male;null;12.1;null;16.84919;8.7;
Chile [Americas];2004;Both sexes;null;5.3;null;17.83331;2.5;
Iraq [Eastern Mediterranean];2004;Female;null;0.2;null;13.03024;7.7;
Gabon [Africa];2004;Both sexes;null;18.7;null;25.10155;22.6;
Rwanda [Africa];2004;Male;null;61.2;null;50.65191;25.1;
Cook Islands [Western Pacific];2004;Both sexes;null;0.8;null;;2.0;
Myanmar [South-East Asia];2004;Both sexes;null;16.3;null;19.71811;27.8;
Saint Kitts and Nevis [Americas];2004;Male;null;23.2;null;;5.7;
Colombia [Americas];2002;null;Not applicable;73.07;null;;;
Netherlands [Europe];2002;null;Not applicable;1.1;null;;;
Singapore [Western Pacific];2002;null;Not applicable;0.82;null;;;
Afghanistan [Eastern Mediterranean];2004;Both sexes;null;3.8;null;15.19411;25.1;
Tajikistan [Europe];2004;Male;null;4.1;null;29.72116;27.2;
Latvia [Europe];2002;null;Not applicable;11.84;null;;;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;null;16.6;null;7.37191;11.7;
Norway [Europe];2002;null;Not applicable;1.12;null;;;
San Marino [Europe];2004;Female;null;0.0;null;;;
Botswana [Africa];2004;Male;null;38.9;null;47.66716;35.3;
Mauritius [Africa];2004;Female;null;0.0;null;6.08134;0.0;
Congo [Africa];2002;null;Not applicable;20.57;null;;;
Hungary [Europe];2004;Female;null;0.1;null;7.00783;0.1;
Saint Kitts and Nevis [Americas];2002;null;Not applicable;12.08;null;;;
